,current_focus_point,time
32808,6,1710159901.3548887
32809,6,1710159901.356095
32810,6,1710159901.357373
32811,6,1710159901.358552
32812,6,1710159901.3597882
32813,6,1710159901.3611293
32814,6,1710159901.3623407
32815,6,1710159901.3636022
32816,6,1710159901.3648815
32817,6,1710159901.3661468
32818,6,1710159901.367415
32819,6,1710159901.3684342
32820,6,1710159901.369699
32821,6,1710159901.370848
32822,6,1710159901.3720753
32823,6,1710159901.373123
32824,6,1710159901.3742697
32825,6,1710159901.375533
32826,6,1710159901.3768098
32827,6,1710159901.3780725
32828,6,1710159901.379435
32829,6,1710159901.38071
32830,6,1710159901.3819637
32831,6,1710159901.38319
32832,6,1710159901.3843873
32833,6,1710159901.3855777
32834,6,1710159901.3867686
32835,6,1710159901.387648
32836,6,1710159901.3886886
32837,6,1710159901.3896165
32838,6,1710159901.3908124
32839,6,1710159901.3919325
32840,6,1710159901.3932605
32841,6,1710159901.3945305
32842,6,1710159901.3956869
32843,6,1710159901.396863
32844,6,1710159901.3978808
32845,6,1710159901.398869
32846,6,1710159901.3998656
32847,6,1710159901.4010882
32848,6,1710159901.4021716
32849,6,1710159901.4034038
32850,6,1710159901.4047666
32851,6,1710159901.4059172
32852,6,1710159901.4070528
32853,6,1710159901.408197
32854,6,1710159901.4094543
32855,6,1710159901.4106338
32856,6,1710159901.411879
32857,6,1710159901.413186
32858,6,1710159901.414435
32859,6,1710159901.4156988
32860,6,1710159901.4168608
32861,6,1710159901.4180408
32862,6,1710159901.4194896
32863,6,1710159901.4207463
32864,6,1710159901.4218988
32865,6,1710159901.4230967
32866,6,1710159901.4243488
32867,6,1710159901.4256172
32868,6,1710159901.4267535
32869,6,1710159901.4280958
32870,6,1710159901.4294093
32871,6,1710159901.4306922
32872,6,1710159901.4319406
32873,6,1710159901.4331963
32874,6,1710159901.4344604
32875,6,1710159901.4357216
32876,6,1710159901.4369376
32877,6,1710159901.4384327
32878,6,1710159901.4400837
32879,6,1710159901.4416661
32880,6,1710159901.4428256
32881,6,1710159901.4443293
32882,6,1710159901.445877
32883,6,1710159901.4474237
32884,6,1710159901.4489498
32885,6,1710159901.4504423
32886,6,1710159901.451939
32887,6,1710159901.4533029
32888,6,1710159901.454654
32889,6,1710159901.4558992
32890,6,1710159901.4574142
32891,6,1710159901.458852
32892,6,1710159901.4601316
32893,6,1710159901.4614282
32894,6,1710159901.4626603
32895,6,1710159901.4639163
32896,6,1710159901.4651997
32897,6,1710159901.4664958
32898,6,1710159901.4677708
32899,6,1710159901.469017
32900,6,1710159901.4704638
32901,6,1710159901.4716935
32902,6,1710159901.4729137
32903,6,1710159901.4741032
32904,6,1710159901.4753137
32905,6,1710159901.4763587
32906,6,1710159901.4777305
32907,6,1710159901.4789312
32908,6,1710159901.4802167
32909,6,1710159901.4819396
32910,6,1710159901.4839067
32911,6,1710159901.485595
32912,6,1710159901.4871137
32913,6,1710159901.4881616
32914,6,1710159901.4892535
32915,6,1710159901.4904542
32916,6,1710159901.4916847
32917,6,1710159901.4928901
32918,6,1710159901.4938836
32919,6,1710159901.4950953
32920,6,1710159901.496271
32921,6,1710159901.4973934
32922,6,1710159901.498522
32923,6,1710159901.4997728
32924,6,1710159901.5006118
32925,6,1710159901.5022092
32926,6,1710159901.5037007
32927,6,1710159901.504924
32928,6,1710159901.5061424
32929,6,1710159901.5075715
32930,6,1710159901.5089433
32931,6,1710159901.5102136
